SiO2,MgO,TiO2,Age_Ma,Latitude,Longitude,Setting,Rock_type,Sample,Source
53.64,17.87,0.15,115,-48.87,68.96,HOTSPOT,,,
51.62,15.73,0.56,115,-49.15,69.53999999999999,HOTSPOT,,,
52.1,15.2,0.58,115,-49.15,69.53999999999999,HOTSPOT,,,
53.65,17.55,0.02,115,-49.3,70.06,HOTSPOT,,,
52.91,15.36,0.65,115,-49.15,69.53999999999999,HOTSPOT,,,
53.7,17.69,0.01,115,-49.0,69.0,HOTSPOT,,,
53.94,17.92,0.06,115,-49.0,69.0,HOTSPOT,,,
54.2,17.85,0.02,115,-49.0,69.0,HOTSPOT,,,
53.7,17.65,0.01,115,-49.0,69.0,HOTSPOT,,,
53.93,17.22,0.02,115,-49.0,69.0,HOTSPOT,,,
53.82,19.33,0.15,115,-49.0,69.0,HOTSPOT,,,
54.0,17.84,0.04,115,-49.0,69.0,HOTSPOT,,,
53.31,17.34,0.01,115,-49.0,69.0,HOTSPOT,,,
54.33,17.87,0.03,115,-49.0,69.0,HOTSPOT,,,
53.57,17.18,0.05,115,-49.0,69.0,HOTSPOT,,,
53.94,18.22,0.02,115,-49.0,69.0,HOTSPOT,,,
53.91,17.81,0.05,115,-49.0,69.0,HOTSPOT,,,
53.85,19.41,0.03,115,-49.0,69.0,HOTSPOT,,,
53.21,19.59,0.02,115,-49.0,69.0,HOTSPOT,,,
53.87,18.84,0.03,115,-49.0,69.0,HOTSPOT,,,
53.88,17.65,0.03,115,-49.0,69.0,HOTSPOT,,,
53.68,17.49,0.02,115,-49.0,69.0,HOTSPOT,,,
54.18,18.07,0.03,115,-49.0,69.0,HOTSPOT,,,
53.5,17.55,0.03,115,-49.0,69.0,HOTSPOT,,,
54.6,17.64,0.04,115,-49.0,69.0,HOTSPOT,,,
53.07,19.04,0.25,115,-49.0,69.0,HOTSPOT,,,
53.65,17.59,0.02,115,-49.0,69.0,HOTSPOT,,,
54.32,17.45,0.06,115,-49.0,69.0,HOTSPOT,,,
53.39,17.41,0.05,115,-49.0,69.0,HOTSPOT,,,
53.2,14.9,0.52,122,-8.595,161.35,HOTSPOT,,,
53.46,17.4,0.12,122,-8.595,161.35,HOTSPOT,,,
53.6,17.07,0.16,122,-8.595,161.35,HOTSPOT,,,
52.78,15.6,0.22,122,-8.595,161.35,HOTSPOT,,,
52.14,14.79,0.4,122,-8.595,161.35,HOTSPOT,,,
54.53,17.06,0.02,122,-8.595,161.35,HOTSPOT,,,
53.18,17.31,0.71,122,-8.595,161.35,HOTSPOT,,,
52.97,16.13,0.44,122,-8.595,161.35,HOTSPOT,,,
53.53,15.44,0.4,122,-8.595,161.35,HOTSPOT,,,
52.9,15.78,0.43,122,-8.595,161.35,HOTSPOT,,,
52.8,18.4,0.44,122,-8.595,161.35,HOTSPOT,,,
52.4,14.8,0.7,122,-8.595,161.35,HOTSPOT,,,
53.02,16.5,0.23,122,-8.595,161.35,HOTSPOT,,,
52.63,14.77,0.27,122,-8.595,161.35,HOTSPOT,,,
52.22,14.84,0.19,122,-8.595,161.35,HOTSPOT,,,
52.3,14.79,0.08,122,-8.595,161.35,HOTSPOT,,,
53.09,15.49,0.39,122,-8.595,161.35,HOTSPOT,,,
53.21,15.14,0.46,122,-8.595,161.35,HOTSPOT,,,
53.65,15.95,0.39,122,-8.595,161.35,HOTSPOT,,,
51.25,13.77,0.03,122,-8.595,161.35,HOTSPOT,,,
52.3,14.64,0.45,122,-8.595,161.35,HOTSPOT,,,
51.6,16.82,0.69,122,-8.595,161.35,HOTSPOT,,,
54.39,15.79,0.32,122,-8.595,161.35,HOTSPOT,,,
53.72,16.23,0.17,122,-8.595,161.35,HOTSPOT,,,
53.52,17.79,0.33,122,-8.595,161.35,HOTSPOT,,,
51.97,15.98,0.36,122,-8.595,161.35,HOTSPOT,,,
52.09,15.64,0.54,122,-8.595,161.35,HOTSPOT,,,
53.3,15.8,0.1,122,-8.595,161.35,HOTSPOT,,,
52.14,14.79,0.41,122,-8.595,161.35,HOTSPOT,,,
54.16,18.91,0.0,122,-8.595,161.35,HOTSPOT,,,
52.6,14.58,0.47,122,-8.595,161.35,HOTSPOT,,,
52.62,15.56,0.6,122,-8.595,161.35,HOTSPOT,,,
55.07,16.13,0.39,122,-8.595,161.35,HOTSPOT,,,
54.72,16.85,0.04,122,-8.595,161.35,HOTSPOT,,,
51.61,14.68,0.41,122,-8.595,161.35,HOTSPOT,,,
54.31,16.68,0.11,122,-8.595,161.35,HOTSPOT,,,
54.35,17.82,0.18,122,-8.595,161.35,HOTSPOT,,,
53.72,15.49,0.29,122,-8.595,161.35,HOTSPOT,,,
52.69,14.6,0.49,122,-8.595,161.35,HOTSPOT,,,
